,repository_name,language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-api-sdk-ruby,Ruby
27,amazon-pay-sdk-csharp,C#
28,amazon-pay-sdk-java,Java
29,amazon-pay-sdk-php,PHP
30,amazon-pay-sdk-python,Python
31,amazon-pay-sdk-ruby,Ruby
32,amazon-pay-sdk-samples,PHP
33,amazon-payment-files-tools,Kotlin
34,amazon-payments-magento-2-plugin,PHP
35,amazon-ray,Python
36,amazon-s3-gst-plugin,C
37,amazon-sidewalk-android-samples,
38,amazon-sidewalk-ios-samples,Swift
39,amazon-succinct-doc-representation,Python
40,amazon-template-library,C++
41,amazon-weak-ner-needle,Python
42,amigitenough,Go
43,amzn-drivers,C
44,amzn-ec2-ena-utilities,Python
45,armbench,Python
46,auction-gym,Jupyter Notebook
47,augment-the-pairs-wacv2024,Python
48,autotrail,Python
49,aws-apigateway-client-lib,
50,aws-sigv4-signing-samples,Java
51,awsssmchaosrunner,Kotlin
52,basis-point-sets,Python
53,buy-with-prime-automate-tenant-validation,JavaScript
54,buy-with-prime-cdk-constructs,TypeScript
55,buy-with-prime-event-accelerator,Python
56,buy-with-prime-monitoring-sample-cdk,TypeScript
57,buy-with-prime-oauth-handler-ec2,JavaScript
58,buy-with-prime-saas-integration,TypeScript
59,chalet-charging-location-for-electric-trucks,Python
60,computer-vision-basics-in-microsoft-excel,
61,confident-sinkhorn-allocation,Jupyter Notebook
62,convolutional-handwriting-gan,Python
63,cosearcher,Python
64,credence-to-causal-estimation,Python
65,data-jack-knife,Java
66,debiased-balanced-interleaving,Jupyter Notebook
67,differential-privacy-bayesian-optimization,Python
68,distance-assistant,Python
69,drs-sample-android-app,Java
70,drs-sample-ios-app,Objective-C
71,emukit-playground,JavaScript
72,eslint-plugin-no-date-parsing,TypeScript
73,exoplayer-amazon-port,Java
74,explainable-text-vqa,
75,extremely-efficient-query-encoder,Python
76,faithful-data2text-cycle-training,Python
77,fashion-attribute-disentanglement,Python
78,fire-app-builder,Java
79,firetv-sample-touch-app,Java
80,ftv-integration-sdk-sample-app,Kotlin
81,ftv-livetv-sample-tv-app,Java
82,gameon-sample-game-unity,C#
83,gameon-starter-kit-unity,C#
84,git-commit-template,JavaScript
85,glad,JavaScript
86,golang-gitoperations,Go
87,halo-third-party-sdk-for-java,Java
88,halo-third-party-sdk-for-node-js,TypeScript
89,halo-third-party-sdk-for-python,Python
90,hawktracer,C++
91,image-misspell-coling2020,
92,image-to-recipe-transformers,Python
93,informative-diverse-hard-negative-sampling,Python
94,ion-object-mapper-dotnet,C#
95,jekyll-doc-project,HTML
96,kqr,
97,login-with-amazon-oscommerce,PHP
98,login-with-amazon-wordpress,PHP
99,media3-external-port,
100,merlin-on-demand-callgraph,JavaScript
101,metalearn-leap,Python
102,milan,Scala
103,mrc-net-6d-pose,Python
104,multiconer-baseline,Python
105,multilingual-keyphrase-generation,Python
106,multimodal-affinities,Python
107,MXFusion,Python
108,nimbus-jose-jwt_aws-kms-extension,Java
109,node-jose_aws-kms-extension,TypeScript
110,openapi-swift-code-generate,Swift
111,orthogonal-additive-gaussian-processes,Python
112,oss-attribution-builder,TypeScript
113,oss-contribution-tracker,TypeScript
114,oss-dashboard,Ruby
115,pecos,Python
116,pretraining-or-self-training,Python
117,python-jose_aws-kms-extension,Python
118,rdma-core,C
119,refuel-open-domain-qa,Python
120,rete-thewebconf-2022,Python
121,rheoceros,Python
122,robotiq-gripper-interface,C++
123,sample-fire-tv-app-video-skill,Java
124,selling-partner-api-docs,
125,selling-partner-api-models,Mustache
126,selling-partner-api-samples,Java
127,seqzero,Python
128,service-model-swift-code-generate,Swift
129,sketch-constructor,JavaScript
130,smoke-aws,Swift
131,smoke-aws-credentials,Swift
132,smoke-aws-generate,Swift
133,smoke-aws-support,Swift
134,smoke-dynamodb,Swift
135,smoke-framework,Swift
136,smoke-framework-application-generate,Swift
137,smoke-framework-examples,Swift
138,smoke-http,Swift
139,sparse-vqvae,Python
140,ss-aga-kgc,Python
141,sto-transformer,Python
142,style-dictionary,JavaScript
143,supply-chain-simulation-environment,Python
144,tiny-attribution-generator,TypeScript
145,trans-encoder,Python
146,user-satisfaction-modeling,Python
147,workspace-resolver,JavaScript
148,ws-vae,Python
149,xfer,Python
